Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D4.0mm_P1.50mm,2,0.1uF,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Brush Motor 2 (right),
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Brush Motor 1 (left),
J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Brush Header (control),
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Brush Motor Main,
J5,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Vacuum,
J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Vacuum Header (control),
J7,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor (left),
J8,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor (right),
J9,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor Header (control),
"Q1, Q10, Q12, Q13, Q15, Q2, Q3, Q4, Q6, Q7, Q9",TO-220-3_Vertical,11,IRF540N,
"Q11, Q14, Q5, Q8",TO-220-3_Vertical,4,IRF9540N,
"R1, R10, R12, R13, R14, R17, R18, R19, R2, R3, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,15,10k,
"R11, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10,
"R16, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,5.1k,
